,Code,Name,Market,Marcap
2182,131760,파인텍,KOSDAQ,49685730952
2183,217620,디딤이앤에프,KOSDAQ,49662600600
2184,099520,ITX-AI,KOSDAQ,49626429228
2185,003925,남양유업우,KOSPI,49600000000
2186,145270,케이탑리츠,KOSPI,49550657994
2187,024120,KB오토시스,KOSDAQ,49507500000
2188,045520,크린앤사이언스,KOSDAQ,49465000000
2189,053950,경남제약,KOSDAQ,49435167420
2190,009620,삼보산업,KOSDAQ,49419072612
2191,033250,체시스,KOSPI,49280000000
2192,012280,영화금속,KOSPI,49122944600
2193,017000,신원종합개발,KOSDAQ,49122393670
2194,133750,메가엠디,KOSDAQ,48803755545
2195,019770,서연탑메탈,KOSDAQ,48580500000
2196,000760,이화산업,KOSPI,48440000000
2197,187220,디티앤씨,KOSDAQ,48312826730
2198,053160,프리엠스,KOSDAQ,48180000000
2199,208710,바이오로그디바이스,KOSDAQ,48145720725
2200,115610,이미지스,KOSDAQ,48101332470
2201,131220,대한과학,KOSDAQ,48081460500
2202,079170,한창산업,KOSDAQ,48048000000
2203,332370,아이디피,KOSDAQ,47851782230
2204,222160,바이옵트로,KOSDAQ,47823122800
2205,032750,삼진,KOSDAQ,47738086720
2206,162120,루켄테크놀러지스,KONEX,47696322240
2207,352940,인바이오,KOSDAQ,47654996050
2208,347700,라이프시맨틱스,KOSDAQ,47559967500
2209,303360,프로테옴텍,KOSDAQ,47443324775
2210,302920,더콘텐츠온,KONEX,47344533600
2211,006200,한국전자홀딩스,KOSPI,47224364224
2212,005320,국동,KOSPI,47216765075
2213,133820,화인베스틸,KOSPI,47210790204
2214,176590,코나솔,KONEX,47168997300
2215,010770,평화홀딩스,KOSPI,47167127850
2216,278990,EMB,KONEX,47166886000
2217,005820,원림,KOSPI,47108385000
2218,37550L,DL이앤씨2우(전환),KOSPI,47096507300
2219,331380,포커스에이치엔에스,KOSDAQ,46954754630
2220,072130,유엔젤,KOSPI,46909838970
2221,054300,팬스타엔터프라이즈,KOSDAQ,46704537526
2222,114630,폴라리스우노,KOSDAQ,46642982904
2223,006920,모헨즈,KOSDAQ,46628400000
2224,143540,영우디에스피,KOSDAQ,46606890275
2225,051780,큐로홀딩스,KOSDAQ,46533996300
2226,200580,메디쎄이,KONEX,46501465920
2227,138070,신진에스엠,KOSDAQ,46383490600
2228,032960,동일기연,KOSDAQ,46286906240
2229,050120,ES큐브,KOSDAQ,46253533260
2230,346010,타이드,KONEX,46170589000
2231,263020,디케이앤디,KOSDAQ,46129212000
2232,198080,엔피디,KOSDAQ,46085295900
2233,311960,에이아이더뉴트리진,KONEX,45939960000
2234,214870,뉴지랩파마,KOSDAQ,45813404598
2235,187270,신화콘텍,KOSDAQ,45748740950
2236,155900,바다로19호,KOSPI,45676012020
2237,021880,메이슨캐피탈,KOSDAQ,45655322400
2238,317120,라닉스,KOSDAQ,45595200000
